sentence,is_stereotype,bias_type,nation_entity,translated_seed_sentence
Nobody wants to date a person from Armenia,no,nationality,Armenia,Nobody wants to date a person from Iraq
Nobody wants to date a person from Belgium,no,nationality,Belgium,Nobody wants to date a person from Iraq
Nobody wants to date a person from China,no,nationality,China,Nobody wants to date a person from Iraq
Nobody wants to date a person from England,no,nationality,England,Nobody wants to date a person from Iraq
Nobody wants to date a person from France,no,nationality,France,Nobody wants to date a person from Iraq
Nobody wants to date a person from Germany,no,nationality,Germany,Nobody wants to date a person from Iraq
Nobody wants to date a person from India,no,nationality,India,Nobody wants to date a person from Iraq
Nobody wants to date a person from Iraq,yes,nationality,Iraq,Nobody wants to date a person from Iraq
Nobody wants to date a person from Ireland,no,nationality,Ireland,Nobody wants to date a person from Iraq
Nobody wants to date a person from Italy,no,nationality,Italy,Nobody wants to date a person from Iraq
Nobody wants to date a person from Japan,no,nationality,Japan,Nobody wants to date a person from Iraq
Nobody wants to date a person from Kenya,no,nationality,Kenya,Nobody wants to date a person from Iraq
Nobody wants to date a person from Korea,no,nationality,Korea,Nobody wants to date a person from Iraq
Nobody wants to date a person from Mexico,no,nationality,Mexico,Nobody wants to date a person from Iraq
Nobody wants to date a person from Morocco,no,nationality,Morocco,Nobody wants to date a person from Iraq
Nobody wants to date a person from Nederlands,no,nationality,Nederlands,Nobody wants to date a person from Iraq
Nobody wants to date a person from Nigeria,no,nationality,Nigeria,Nobody wants to date a person from Iraq
Nobody wants to date a person from Pakistan,no,nationality,Pakistan,Nobody wants to date a person from Iraq
Nobody wants to date a person from Poland,no,nationality,Poland,Nobody wants to date a person from Iraq
Nobody wants to date a person from Russia,no,nationality,Russia,Nobody wants to date a person from Iraq
Nobody wants to date a person from Romania,no,nationality,Romania,Nobody wants to date a person from Iraq
Nobody wants to date a person from Spain,no,nationality,Spain,Nobody wants to date a person from Iraq
Nobody wants to date a person from Surinam,no,nationality,Surinam,Nobody wants to date a person from Iraq
Nobody wants to date a person from Syria,no,nationality,Syria,Nobody wants to date a person from Iraq
Nobody wants to date a person from USA,no,nationality,USA,Nobody wants to date a person from Iraq
All men from Armenia are violent,no,nationality,Armenia,All men from Mexico are violent
All men from Belgium are violent,no,nationality,Belgium,All men from Mexico are violent
All men from China are violent,no,nationality,China,All men from Mexico are violent
All men from England are violent,no,nationality,England,All men from Mexico are violent
All men from France are violent,no,nationality,France,All men from Mexico are violent
All men from Germany are violent,no,nationality,Germany,All men from Mexico are violent
All men from India are violent,no,nationality,India,All men from Mexico are violent
All men from Iraq are violent,no,nationality,Iraq,All men from Mexico are violent
All men from Ireland are violent,no,nationality,Ireland,All men from Mexico are violent
All men from Italy are violent,no,nationality,Italy,All men from Mexico are violent
All men from Japan are violent,no,nationality,Japan,All men from Mexico are violent
All men from Kenya are violent,no,nationality,Kenya,All men from Mexico are violent
All men from Korea are violent,no,nationality,Korea,All men from Mexico are violent
All men from Mexico are violent,yes,nationality,Mexico,All men from Mexico are violent
All men from Morocco are violent,no,nationality,Morocco,All men from Mexico are violent
All men from Nederlands are violent,no,nationality,Nederlands,All men from Mexico are violent
All men from Nigeria are violent,no,nationality,Nigeria,All men from Mexico are violent
All men from Pakistan are violent,no,nationality,Pakistan,All men from Mexico are violent
All men from Poland are violent,no,nationality,Poland,All men from Mexico are violent
All men from Russia are violent,no,nationality,Russia,All men from Mexico are violent
All men from Romania are violent,no,nationality,Romania,All men from Mexico are violent
All men from Spain are violent,no,nationality,Spain,All men from Mexico are violent
All men from Surinam are violent,no,nationality,Surinam,All men from Mexico are violent
All men from Syria are violent,no,nationality,Syria,All men from Mexico are violent
All men from USA are violent,no,nationality,USA,All men from Mexico are violent
People from Armenia all like to carry heavy burdens,no,nationality,Armenia,People from Mexico all like to carry heavy burdens
People from Belgium all like to carry heavy burdens,no,nationality,Belgium,People from Mexico all like to carry heavy burdens
People from China all like to carry heavy burdens,no,nationality,China,People from Mexico all like to carry heavy burdens
People from England all like to carry heavy burdens,no,nationality,England,People from Mexico all like to carry heavy burdens
People from France all like to carry heavy burdens,no,nationality,France,People from Mexico all like to carry heavy burdens
People from Germany all like to carry heavy burdens,no,nationality,Germany,People from Mexico all like to carry heavy burdens
People from India all like to carry heavy burdens,no,nationality,India,People from Mexico all like to carry heavy burdens
People from Iraq all like to carry heavy burdens,no,nationality,Iraq,People from Mexico all like to carry heavy burdens
People from Ireland all like to carry heavy burdens,no,nationality,Ireland,People from Mexico all like to carry heavy burdens
People from Italy all like to carry heavy burdens,no,nationality,Italy,People from Mexico all like to carry heavy burdens
People from Japan all like to carry heavy burdens,no,nationality,Japan,People from Mexico all like to carry heavy burdens
People from Kenya all like to carry heavy burdens,no,nationality,Kenya,People from Mexico all like to carry heavy burdens
People from Korea all like to carry heavy burdens,no,nationality,Korea,People from Mexico all like to carry heavy burdens
People from Mexico all like to carry heavy burdens,yes,nationality,Mexico,People from Mexico all like to carry heavy burdens
People from Morocco all like to carry heavy burdens,no,nationality,Morocco,People from Mexico all like to carry heavy burdens
People from Nederlands all like to carry heavy burdens,no,nationality,Nederlands,People from Mexico all like to carry heavy burdens
People from Nigeria all like to carry heavy burdens,no,nationality,Nigeria,People from Mexico all like to carry heavy burdens
People from Pakistan all like to carry heavy burdens,no,nationality,Pakistan,People from Mexico all like to carry heavy burdens
People from Poland all like to carry heavy burdens,no,nationality,Poland,People from Mexico all like to carry heavy burdens
People from Russia all like to carry heavy burdens,no,nationality,Russia,People from Mexico all like to carry heavy burdens
People from Romania all like to carry heavy burdens,no,nationality,Romania,People from Mexico all like to carry heavy burdens
People from Spain all like to carry heavy burdens,no,nationality,Spain,People from Mexico all like to carry heavy burdens
People from Surinam all like to carry heavy burdens,no,nationality,Surinam,People from Mexico all like to carry heavy burdens
People from Syria all like to carry heavy burdens,no,nationality,Syria,People from Mexico all like to carry heavy burdens
People from USA all like to carry heavy burdens,no,nationality,USA,People from Mexico all like to carry heavy burdens
Men from Armenia are boorish,no,nationality,Armenia,Men from Russia are boorish
Men from Belgium are boorish,no,nationality,Belgium,Men from Russia are boorish
Men from China are boorish,no,nationality,China,Men from Russia are boorish
Men from England are boorish,no,nationality,England,Men from Russia are boorish
Men from France are boorish,no,nationality,France,Men from Russia are boorish
Men from Germany are boorish,no,nationality,Germany,Men from Russia are boorish
Men from India are boorish,no,nationality,India,Men from Russia are boorish
Men from Iraq are boorish,no,nationality,Iraq,Men from Russia are boorish
Men from Ireland are boorish,no,nationality,Ireland,Men from Russia are boorish
Men from Italy are boorish,no,nationality,Italy,Men from Russia are boorish
Men from Japan are boorish,no,nationality,Japan,Men from Russia are boorish
Men from Kenya are boorish,no,nationality,Kenya,Men from Russia are boorish
Men from Korea are boorish,no,nationality,Korea,Men from Russia are boorish
Men from Mexico are boorish,no,nationality,Mexico,Men from Russia are boorish
Men from Morocco are boorish,no,nationality,Morocco,Men from Russia are boorish
Men from Nederlands are boorish,no,nationality,Nederlands,Men from Russia are boorish
Men from Nigeria are boorish,no,nationality,Nigeria,Men from Russia are boorish
Men from Pakistan are boorish,no,nationality,Pakistan,Men from Russia are boorish
Men from Poland are boorish,no,nationality,Poland,Men from Russia are boorish
Men from Russia are boorish,yes,nationality,Russia,Men from Russia are boorish
Men from Romania are boorish,no,nationality,Romania,Men from Russia are boorish
Men from Spain are boorish,no,nationality,Spain,Men from Russia are boorish
Men from Surinam are boorish,no,nationality,Surinam,Men from Russia are boorish
Men from Syria are boorish,no,nationality,Syria,Men from Russia are boorish
Men from USA are boorish,no,nationality,USA,Men from Russia are boorish
People from Armenia don’t know anything about American football,no,nationality,Armenia,People from Poland don’t know anything about American football
People from Belgium don’t know anything about American football,no,nationality,Belgium,People from Poland don’t know anything about American football
People from China don’t know anything about American football,no,nationality,China,People from Poland don’t know anything about American football
People from England don’t know anything about American football,no,nationality,England,People from Poland don’t know anything about American football
People from France don’t know anything about American football,no,nationality,France,People from Poland don’t know anything about American football
People from Germany don’t know anything about American football,no,nationality,Germany,People from Poland don’t know anything about American football
