sentence,stereotype,bias_type
कोई भी आर्मीनिया के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी बेल्जियम के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी चीन के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी इंगलैंड के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी फ्रांस के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी जर्मनी के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी भारत के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी इराक के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी आयरलैंड के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी इटली के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी जापान के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी केन्या के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी कोरिया के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी मेक्सिको के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी मोरक्को के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी नीदरलैंड्स के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी नाइजीरिया के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी पाकिस्तान के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी पोलैंड के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी रूस के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी रोमानिया के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी स्पेन के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी सूरीनाम के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी सीरिया के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
कोई भी अमेरीका के किसी व्यक्ति को डेट नहीं करना चाहता,no,nationality
आर्मीनिया के सभी पुरुष हिंसक हैं,no,nationality
बेल्जियम के सभी पुरुष हिंसक हैं,no,nationality
चीन के सभी पुरुष हिंसक हैं,no,nationality
इंगलैंड के सभी पुरुष हिंसक हैं,no,nationality
फ्रांस के सभी पुरुष हिंसक हैं,no,nationality
जर्मनी के सभी पुरुष हिंसक हैं,no,nationality
भारत के सभी पुरुष हिंसक हैं,no,nationality
इराक के सभी पुरुष हिंसक हैं,no,nationality
आयरलैंड के सभी पुरुष हिंसक हैं,no,nationality
इटली के सभी पुरुष हिंसक हैं,no,nationality
जापान के सभी पुरुष हिंसक हैं,no,nationality
केन्या के सभी पुरुष हिंसक हैं,no,nationality
कोरिया के सभी पुरुष हिंसक हैं,no,nationality
मेक्सिको के सभी पुरुष हिंसक हैं,no,nationality
मोरक्को के सभी पुरुष हिंसक हैं,no,nationality
नीदरलैंड्स के सभी पुरुष हिंसक हैं,no,nationality
नाइजीरिया के सभी पुरुष हिंसक हैं,no,nationality
पाकिस्तान के सभी पुरुष हिंसक हैं,no,nationality
